Entry                     RecordName                Record Status    Section TimeTo Data   Data
                                                    Type                     Live   Length
-----                     ----------                ------ ------    ------- ------ ------ ----
ssl.gstatic.com           ssl.gstatic.com           A      Success   Answer      33      4 142.250.138.94
cms-xch-chicago.33acro... cms-xch-chicago.33acro... A      Success   Answer      55      4 69.162.160.31
pesterbook.com            pesterbook.com            A      Success   Answer     262      4 172.67.198.70
pesterbook.com            pesterbook.com            A      Success   Answer     262      4 104.21.21.108
c.amazon-adsystem.com     c.amazon-adsystem.com     CNAME  Success   Answer      27      8 d1ykf07e75w7ss.cloudfront.net
c.amazon-adsystem.com     d1ykf07e75w7ss.cloudfr... A      Success   Answer      27      4 13.35.102.88
match.prod.bidr.io        match.prod.bidr.io        A      Success   Answer       4      4 44.239.215.172
match.prod.bidr.io        match.prod.bidr.io        A      Success   Answer       4      4 35.167.137.53
match.prod.bidr.io        match.prod.bidr.io        A      Success   Answer       4      4 35.164.159.113
match.prod.bidr.io        match.prod.bidr.io        A      Success   Answer       4      4 52.12.161.87
hbopenbid.pubmatic.com    hbopenbid.pubmatic.com    CNAME  Success   Answer     268      8 hbopenbid88000nfc.pubmatic.com
hbopenbid.pubmatic.com    hbopenbid88000nfc.pubm... CNAME  Success   Answer     268      8 hbopenbid88000nf.pubmatic.com
hbopenbid.pubmatic.com    hbopenbid88000nf.pubma... A      Success   Answer     268      4 104.36.115.111
static.addevweb.com       static.addevweb.com       CNAME  Success   Answer     241      8 caching.sunmedia.edge2befaster.io
static.addevweb.com       caching.sunmedia.edge2... CNAME  Success   Answer     241      8 cec01.usg.sunmedia.edgetcdn.io
static.addevweb.com       cec01.usg.sunmedia.edg... A      Success   Answer     241      4 51.161.15.30
static.addevweb.com       cec01.usg.sunmedia.edg... A      Success   Answer     241      4 185.180.13.33
static.addevweb.com       cec01.usg.sunmedia.edg... A      Success   Answer     241      4 51.81.107.148
static.addevweb.com       cec01.usg.sunmedia.edg... A      Success   Answer     241      4 37.120.219.66
static.addevweb.com       cec01.usg.sunmedia.edg... A      Success   Answer     241      4 37.120.215.210
static.addevweb.com       cec01.usg.sunmedia.edg... A      Success   Answer     241      4 195.181.163.48
static.addevweb.com       cec01.usg.sunmedia.edg... A      Success   Answer     241      4 195.206.104.242
